workload,D,variant,R,S,A,L,U,M,B,incomingPointerWrites,outgoingPointerWrites,endpointPointerWrites,W,Delta,SearchAmp,MutationAmp,stableEligible,stableRetained,meanNs,medianNs,p75Ns,p95Ns,p99BatchNs,variance,rme95Percent,opsPerSecond,wallTimeMs,batchIterations
local-swap,64,rotate,65,9,0,0,0,1,1,78,0,0,78,0,9,1,65,65,332.95694986979163,335.15777587890625,337.9455566406248,376.5939331054688,384.66204833984403,514.0701733485159,3.771419010294788,3003391.2804375063,327.30999999999995,65536
local-swap,256,move,257,2,0,0,0,1,0,264,0,0,264,0,2,1,257,257,1133.605550130207,1114.0808105468761,1161.2731933593745,1215.9307861328125,1245.4859619140634,2684.771165606606,2.531473240103872,882141.0585764503,278.59489999999965,16384
local-swap,256,rotate,257,9,0,0,0,1,1,270,0,0,270,0,9,1,257,257,1603.2910156249998,1591.3024902343732,1652.9205322265636,1696.5576171874989,1719.3212890625007,3683.569533484403,2.096542855342083,623717.0858281002,394.0247999999999,16384
local-swap,1024,move,1025,2,0,0,0,1,0,1032,0,0,1032,0,2,1,1025,1025,6760.939127604163,6574.267578125015,7121.069335937507,8073.89404296874,8271.985839843737,539136.2675144587,6.014837726407969,147908.44602003752,415.3920999999998,4096
local-swap,1024,rotate,1025,9,0,0,0,1,1,1038,0,0,1038,0,9,1,1025,1025,6417.257486979166,6423.43749999999,6614.794921875,7045.585937499992,7168.960937499992,178993.47363766772,3.651327598693608,155829.80767548038,394.27629999999994,4096
local-swap,4096,move,4097,2,0,0,0,1,0,4104,0,0,4104,0,2,1,4097,4097,27483.502604166682,27803.417968749967,28282.03124999995,29789.306640625065,30715.439453125116,2389982.898530538,3.115350991398523,36385.46419656108,422.14660000000026,1024
local-swap,4096,rotate,4097,9,0,0,0,1,1,4110,0,0,4110,0,9,1,4097,4097,27702.825520833332,27603.515624999964,28626.36718750006,30255.351562500033,30665.835937500073,2568274.540855912,3.2038953607689096,36097.40094013049,425.5154,1024
cyclic-left1,0,move,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,34.835522969563804,34.953308105468764,35.385417938232365,36.07490539550776,36.112075805664034,1.0658669419907991,1.6413863920306675,28706329.480792105,273.9577,524288
cyclic-left1,0,rotate,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,34.53545888264974,34.068107604980426,35.026550292968764,36.81718826293945,36.902317047119176,1.3639156712174751,1.8728810511968341,28955746.7123273,271.5979,524288
cyclic-left1,1,move,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,41.10913594563801,41.170310974121115,41.85333251953134,43.20072174072265,43.44788360595703,1.8889333944008584,1.8516190514913058,24325493.03206913,323.29539999999986,524288
cyclic-left1,1,rotate,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,44.6721903483073,44.110107421875085,46.17128372192379,48.45935821533203,50.310615539550824,6.508949463577254,3.1630049361189987,22385291.435298774,351.3164000000001,524288
cyclic-left1,16,move,17,30,0,0,0,15,0,108,0,0,108,0,30,15,17,17,223.63998413085938,224.6978759765624,227.55012512207065,234.0778350830078,235.52406311035162,53.81503573153229,1.8167034072190997,4471472.325873829,439.6941,131072
cyclic-left1,16,rotate,17,2,0,0,0,0,1,24,0,0,24,0,2,0,17,17,141.73777262369794,140.39993286132838,145.4345703125002,154.56993103027347,156.76725769042966,53.01395945605738,2.845058391150036,7055282.311052801,278.66780000000006,131072
cyclic-left1,31,move,32,60,0,0,0,30,0,213,0,0,213,0,60,30,32,32,368.7014770507813,373.03466796875017,380.94177246093733,388.22479248046915,389.0707397460945,253.12905273002144,2.389889309225273,2712221.3016311564,362.4483000000001,65536
cyclic-left1,31,rotate,32,2,0,0,0,0,1,39,0,0,39,0,2,0,32,32,191.7402140299478,190.5303955078118,197.29690551757847,215.66131591796815,216.21331787109253,172.2701881302526,3.7911723054176125,5215390.026861087,188.48829999999987,65536
cyclic-left1,32,move,33,62,0,0,0,31,0,220,0,0,220,0,62,31,33,33,389.4151814778645,387.1170043945309,403.06396484375,410.85098266601534,418.46536254882824,281.416766434199,2.385853498550932,2567953.299111023,382.81069999999994,65536
cyclic-left1,32,rotate,33,2,0,0,0,0,1,40,0,0,40,0,2,0,33,33,196.0677083333333,194.45648193359284,195.94345092773403,209.86129760742202,221.26791381835955,85.83274652205897,2.616990216103579,5100278.921503521,192.74239999999995,65536
cyclic-left1,33,move,34,64,0,0,0,32,0,227,0,0,227,0,64,32,34,34,385.19734700520837,385.41412353515665,388.9770507812507,395.9901428222664,399.79006958007903,49.39378387783114,1.0104958360359568,2596071.8778950437,378.66440000000006,65536
cyclic-left1,33,rotate,34,2,0,0,0,0,1,41,0,0,41,0,2,0,34,34,202.84342447916654,202.5207519531242,212.34817504882852,214.06692504882764,214.77017211913994,89.79349193119037,2.587278404751209,4929910.853988304,199.40319999999988,65536
cyclic-left1,64,move,65,126,0,0,0,63,0,444,0,0,444,0,126,63,65,65,722.5937906901041,727.340698242188,735.0204467773428,744.184265136719,746.2538452148433,358.2072509009101,1.4506232304098576,1383903.3948035487,355.1693,32768
cyclic-left1,64,rotate,65,2,0,0,0,0,1,72,0,0,72,0,2,0,65,65,336.8434651692706,333.02612304687494,341.9738769531262,375.71807861328153,378.8643188476566,384.6817036115161,3.2248112927595463,2968738.0145477364,165.5652999999999,32768
cyclic-left1,256,move,257,510,0,0,0,255,0,1788,0,0,1788,0,510,255,257,257,2750.2807617187523,2742.17529296876,2788.122558593752,2914.0734863281364,2957.3654785156336,8894.135377237373,1.8991379131184525,363599.2419097834,337.9545000000003,8192
cyclic-left1,256,rotate,257,2,0,0,0,0,1,264,0,0,264,0,2,0,257,257,1131.2174479166667,1130.5297851562439,1148.297119140624,1191.8701171875045,1213.4033203125084,1664.2081453688681,1.9972820253992711,884003.3380334378,139.004,8192
cyclic-left1,1024,move,1025,2046,0,0,0,1023,0,7164,0,0,7164,0,2046,1023,1025,1025,12649.973958333347,12542.968749999938,12731.933593749967,14326.347656250047,14845.113281250016,711060.8556838336,3.6918616783165064,79051.54613707612,97.15180000000011,512
cyclic-left1,1024,rotate,1025,2,0,0,0,0,1,1032,0,0,1032,0,2,0,1025,1025,8002.135416666671,7538.281250000001,8046.679687500058,9718.398437499996,9751.648437499982,768498.543148936,6.06732550240808,124966.64301846507,61.45640000000003,512
cyclic-left1,4096,move,4097,8190,0,0,0,4095,0,28668,0,0,28668,0,8190,4095,4097,4097,49803.94531249995,50190.429687499985,50955.85937500013,52450.4296875,52841.3359375001,4298279.687064466,2.3055006825522013,20078.730585004818,382.49429999999955,512
cyclic-left1,4096,rotate,4097,2,0,0,0,0,1,4104,0,0,4104,0,2,0,4097,4097,30570.45572916671,30511.132812500062,31528.808593749956,32520.214843750007,32668.41796875011,1726510.7806977269,2.380479255667582,32711.321311638752,234.78110000000035,512
cyclic-left2,0,move,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,35.02371470133462,35.077857971191385,36.20405197143556,36.96134567260743,37.61214828491207,2.0711249498639455,2.2757398304269487,28552082.739581414,275.4376999999999,524288
cyclic-left2,0,rotate,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,36.1891047159831,35.86158752441409,37.19539642333986,39.51257705688484,40.78673171997079,4.2359998295156815,3.1497914135680287,27632626.113525957,284.6027000000002,524288
cyclic-left2,1,move,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,41.76258087158201,41.2700653076171,43.41011047363287,44.58015441894522,45.420547485351534,3.8459401247174765,2.600731971995359,23944880.300260976,328.43429999999984,524288
cyclic-left2,1,rotate,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,39.95704650878908,40.35358428955069,40.95287322998048,43.230514526367116,43.27409362792952,3.56449901508818,2.6169024715757523,25026874.791159473,314.2350000000001,524288
cyclic-left2,16,move,17,56,0,0,0,14,0,102,0,0,102,0,56,14,17,17,231.67765299479177,230.23071289062642,231.2591552734375,242.19131469726554,255.4743957519537,63.35355390218262,1.902755619243948,4316342.068703883,227.7484000000001,65536
cyclic-left2,16,rotate,17,4,0,0,0,0,1,24,0,0,24,0,4,0,17,17,149.4809977213543,149.78332519531307,153.2531738281254,160.67398071289003,163.17849731445287,52.6822427775532,2.6892291289863905,6689813.523081293,146.9458000000001,65536
cyclic-left2,31,move,32,116,0,0,0,29,0,207,0,0,207,0,116,29,32,32,412.6232910156251,392.70935058593767,413.5353088378906,497.17376708984494,540.38201904297,2093.326329719308,6.141103210190538,2423518.0654456373,405.6252000000001,65536
cyclic-left2,31,rotate,32,4,0,0,0,0,1,39,0,0,39,0,4,0,32,32,207.89540608723956,200.22125244140673,214.68811035156227,255.00808715820273,279.30728149414085,730.5257387148879,7.200365383299196,4810111.097791011,204.36949999999996,65536
cyclic-left2,32,move,33,120,0,0,0,30,0,214,0,0,214,0,120,30,33,33,404.29819742838544,404.8171997070313,412.6525878906254,432.9277038574214,433.36776733398324,275.6451512243359,2.274338172638743,2473421.8612912144,397.4413,65536
cyclic-left2,32,rotate,33,4,0,0,0,0,1,40,0,0,40,0,4,0,33,33,203.87573242187486,200.86975097656241,208.4777832031255,228.2728576660158,242.70779418945332,233.3261721235372,4.149519987458808,4904948.657306233,200.41799999999986,65536
cyclic-left2,33,move,34,124,0,0,0,31,0,221,0,0,221,0,124,31,34,34,445.46579996744794,415.1763916015634,421.7407226562502,567.808837890625,774.2917480468757,11320.878532338224,13.22840141355972,2244841.242746523,437.9107,65536
cyclic-left2,33,rotate,34,4,0,0,0,0,1,41,0,0,41,0,4,0,34,34,217.25402832031256,213.44757080078105,224.63378906250037,247.1092224121101,256.3249206542963,276.07186724033016,4.235697195979804,4602906.596169675,213.56940000000006,65536
cyclic-left2,64,move,65,248,0,0,0,62,0,438,0,0,438,0,248,62,65,65,744.352416992188,747.824096679688,758.6975097656256,792.4856567382815,805.6089477539075,1025.5963419165016,2.3828203237072088,1343449.6579467615,365.86410000000024,32768
cyclic-left2,64,rotate,65,4,0,0,0,0,1,72,0,0,72,0,4,0,65,65,331.8438720703129,336.11145019531335,342.70629882812534,345.49499511718693,346.4964599609381,180.1060682960694,2.2398144266370648,3013465.319582923,163.1079000000002,32768
cyclic-left2,256,move,257,1016,0,0,0,254,0,1782,0,0,1782,0,1016,254,257,257,2911.2247721354142,2914.721679687496,2994.3725585937464,3198.143310546868,3286.894287109377,33465.6199145888,3.4802093224887103,343498.0388912016,357.7312999999997,8192
cyclic-left2,256,rotate,257,4,0,0,0,0,1,264,0,0,264,0,4,0,257,257,1143.8435872395853,1132.2998046875005,1171.7163085937545,1256.3977050781284,1279.6877441406343,4714.174646706911,3.3244351013022357,874245.4048400795,140.55550000000025,8192
cyclic-left2,1024,move,1025,4088,0,0,0,1022,0,7158,0,0,7158,0,4088,1022,1025,1025,12869.778645833332,12841.210937500015,13210.839843749989,14017.46093749998,14204.273437499965,498108.7192353428,3.0371948981236696,77701.41410503248,98.83989999999999,512
cyclic-left2,1024,rotate,1025,4,0,0,0,0,1,1032,0,0,1032,0,4,0,1025,1025,7890.55989583333,7652.7343750000255,8138.671875000004,9271.660156250004,10295.73828124996,832583.4474109411,6.404536902585566,126733.71892507368,60.59949999999998,512
cyclic-left2,4096,move,4097,16376,0,0,0,4094,0,28662,0,0,28662,0,16376,4094,4097,4097,73081.92708333377,63847.65625000011,91427.34375000038,103933.75000000055,107295.50000000025,439588386.2188447,15.88893474159403,13683.273552156354,140.31730000000084,128
cyclic-left2,4096,rotate,4097,4,0,0,0,0,1,4104,0,0,4104,0,4,0,4097,4097,50678.697916666715,49336.71875000023,62222.26562499999,80032.73437500038,80353.42187500047,261520219.4184858,17.67294211134187,19732.156529442516,97.30310000000009,128
cyclic-right1,0,move,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,40.76070149739579,38.10653686523433,39.58997726440431,61.52774810791006,61.73838043212888,74.99198479629156,11.766503853886602,24533434.491157867,320.55519999999973,524288
cyclic-right1,0,rotate,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,38.6373011271159,37.14427947998052,38.81778717041014,46.3129997253418,54.39702987670896,29.403186965889056,7.772703245006108,25881724.93492807,303.85610000000014,524288
cyclic-right1,1,move,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,66.59093221028648,66.415786743164,68.27812194824227,70.59829711914045,71.39382934570314,8.850283439858263,2.4742590200163694,15017059.632715687,261.84620000000007,262144
cyclic-right1,1,rotate,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,68.35879007975262,67.77153015136714,70.27301788330078,74.10762786865237,75.25670623779284,13.96268969706617,3.0274141951041966,14628696.599710485,268.7977000000001,262144
cyclic-right1,16,move,17,7,0,0,0,1,0,24,0,0,24,0,7,1,17,17,178.0933634440103,174.22866821289062,180.78994750976574,206.7087554931642,216.23249816894514,216.04058082171383,4.570898726322165,5615032.366517038,350.1457999999998,131072
cyclic-right1,16,rotate,17,7,0,0,0,1,0,24,0,0,24,0,7,1,17,17,175.20207722981775,176.50680541992162,181.70661926269537,188.0720520019531,189.67678833007818,85.19912212311074,2.917829938024984,5707694.884737413,344.46130000000005,131072
cyclic-right1,31,move,32,7,0,0,0,1,0,39,0,0,39,0,7,1,32,32,227.37854003906247,225.75683593750034,231.4773559570311,239.78927612304662,246.03646850585886,61.96949903719876,1.917437364288516,4397952.41814907,223.52219999999997,65536
cyclic-right1,31,rotate,32,7,0,0,0,1,0,39,0,0,39,0,7,1,32,32,228.4425862630209,225.32501220703244,237.06665039062477,244.96582031249963,246.43212890624974,102.21018318441233,2.4510472420475105,4377467.513209795,224.56820000000005,65536
cyclic-right1,32,move,33,7,0,0,0,1,0,40,0,0,40,0,7,1,33,33,239.10725911458312,237.31689453124986,243.6347961425774,254.43168640136705,262.9078216552733,92.10878647752791,2.222999863890509,4182223.507989725,470.1039999999996,131072
cyclic-right1,32,rotate,33,7,0,0,0,1,0,40,0,0,40,0,7,1,33,33,240.57189941406247,238.11035156250017,243.9056396484375,252.38700866699182,254.2451019287107,48.80389870543487,1.608288765990545,4156761.4606510676,472.98359999999997,131072
cyclic-right1,33,move,34,7,0,0,0,1,0,41,0,0,41,0,7,1,34,34,251.32670084635404,249.4415283203124,259.5886230468752,266.6586303710937,268.89569091796864,105.51201940203894,2.2635703899259303,3978884.8404584737,247.0641999999999,65536
cyclic-right1,33,rotate,34,7,0,0,0,1,0,41,0,0,41,0,7,1,34,34,248.82181803385367,246.10290527343759,251.7623901367185,269.9467468261717,280.84237670898426,173.58281811522218,2.9325577645369756,4018940.1713315356,244.6017999999995,65536
cyclic-right1,64,move,65,7,0,0,0,1,0,72,0,0,72,0,7,1,65,65,383.9963785807291,378.80554199218665,398.15673828124926,407.3950195312493,419.3049316406238,288.94599788776446,2.4516748962732104,2604191.2262195097,377.48379999999986,65536
cyclic-right1,64,rotate,65,7,0,0,0,1,0,72,0,0,72,0,7,1,65,65,381.5827433268231,374.9130249023451,395.32623291015614,403.87207031250017,404.5915527343753,225.90579879692427,2.181507098660229,2620663.5847352943,375.1111000000002,65536
cyclic-right1,256,move,257,7,0,0,0,1,0,264,0,0,264,0,7,1,257,257,1303.1518554687498,1270.3735351562439,1338.549804687502,1422.742309570312,1443.6842041015627,4071.334008659764,2.7117834552966644,767370.2767666285,320.26259999999996,16384
cyclic-right1,256,rotate,257,7,0,0,0,1,0,264,0,0,264,0,7,1,257,257,1302.4365234375005,1304.9255371093764,1331.1340332031236,1391.1486816406227,1414.650634765626,3198.6665949224744,2.404969583328353,767791.7364914764,320.0868000000001,16384
cyclic-right1,1024,move,1025,7,0,0,0,1,0,1032,0,0,1032,0,7,1,1025,1025,6643.746744791669,6322.412109375008,6486.376953125011,8331.5673828125,9081.743164062496,824319.3478130166,7.568613788634589,150517.4773231603,204.09590000000006,2048
cyclic-right1,1024,rotate,1025,7,0,0,0,1,0,1032,0,0,1032,0,7,1,1025,1025,6881.731770833332,6626.562499999988,7446.6552734375055,8195.90332031249,8224.532226562516,706404.6273458551,6.764110498126133,145312.2605327738,211.40679999999998,2048
cyclic-right1,4096,move,4097,7,0,0,0,1,0,4104,0,0,4104,0,7,1,4097,4097,33171.69270833335,33387.109375,34025.48828125007,34627.55859374997,35327.23046875016,1682245.5404373573,2.1655026835973628,30146.185447714015,254.75860000000014,512
cyclic-right1,4096,rotate,4097,7,0,0,0,1,0,4104,0,0,4104,0,7,1,4097,4097,33046.84895833323,32908.20312500009,34136.62109374993,35013.55468749996,35199.27343749997,1836550.7118589994,2.2711879425703416,30260.071126927698,253.7997999999992,512
insert-front,0,move,1.5,0.5,0.5,0.5,0.5,0,0,6.5,4,1,11.5,1,0.25,0.5,1,1,50.25428771972659,49.654960632324226,52.417278289794986,52.868976593017535,52.99597549438478,4.122573327289711,2.2376529982948226,19898799.592526402,395.21580000000023,524288
insert-front,0,rotate,1.5,0.5,0.5,0.5,0.5,0,0,6.5,4,1,11.5,1,0.25,0.5,1,1,49.404869079589865,49.766921997070405,50.62694549560554,51.929798126220696,52.58017349243164,3.6221402853179323,2.133509335259708,20240919.94635241,388.5357000000002,524288
insert-front,1,move,2.5,4,0.5,0.5,0.5,0.5,0,10.5,4,1,15.5,1,2,0.75,2,2,62.07247416178386,61.24763488769532,64.06841278076185,64.98134613037095,65.61559295654294,4.793939951230768,1.953569676531495,16110200.431090109,244.07890000000003,262144
insert-front,1,rotate,2.5,4,0.5,0.5,0.5,0,0.5,10.5,4,1,15.5,1,2,0.5,2,2,64.64284261067705,63.0340576171875,66.13464355468754,72.11189270019536,72.398147583008,13.022881210504993,3.091823975993164,15469616.737349823,254.1859999999999,262144
insert-front,16,move,17.5,20.5,0.5,0.5,0.5,8,0,70.5,4,1,75.5,1,10.25,4.5,17,17,226.4933268229168,224.15924072265602,234.63439941406244,242.87483215332085,250.17347717285165,121.33189574039041,2.6934799540843954,4415141.117079565,445.30400000000026,131072
