workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
alternating,31,after,164,1,1,1,31,33,32,32,2,33,65.66666666666667,11,503.4383138020833,502.3132324218776,509.6466064453131,532.048339843749,537.7768554687478,302.66872828915353,1.9138997198305336,1986340.674883815,32768,247.45
alternating,32,before,167,33,33,33,0,34,33,1,2,66,77.66666666666667,22,891.8184407552083,894.635009765627,904.6081542968734,949.741821289063,966.862426757813,1209.5631651935098,2.1598296312448126,1121304.465461806,32768,438.3466
alternating,32,after,169,1,1,1,32,34,33,33,2,34,67.66666666666667,11.333333333333334,527.1840413411456,530.3894042968747,537.3260498046859,551.3269042968761,560.975830078125,320.3489001663038,1.8803168184782177,1896870.772977156,32768,259.1214999999999
alternating,33,before,171,34,34,34,0,35,34,1,2,68,79.66666666666667,22.666666666666668,893.6948649088544,892.5567626953124,909.0225219726558,923.6303710937489,939.3085937500006,568.5286389752434,1.4776397916756665,1118950.1464820292,32768,439.26890000000014
alternating,33,after,174,1,1,1,33,35,34,34,2,35,69.66666666666667,11.666666666666666,539.2095947265632,539.6118164062505,547.1984863281258,578.3337402343745,578.4157714843752,397.32720197309794,2.0473788141890052,1854566.4056796073,32768,265.0323000000003
alternating,64,before,295,65,65,65,0,66,65,1,2,130,141.66666666666666,43.333333333333336,1548.7854003906243,1511.218261718749,1624.1302490234352,1657.2790527343766,1688.5944824218748,5715.991801449206,2.7035612897592873,645667.2433429362,16384,380.6294999999998
alternating,64,after,329,1,1,1,64,66,65,65,2,66,131.66666666666666,22,936.5531412760407,933.074951171873,943.4265136718748,974.3768310546845,985.2904052734344,422.9892304255653,1.2162249185528893,1067745.0706507843,16384,230.16729999999978
alternating,256,before,1063,257,257,257,0,258,257,1,2,514,525.6666666666666,171.33333333333334,6287.052408854166,6092.626953124999,6323.547363281257,7419.135742187491,8850.9365234375,731692.4954028374,7.535271186064768,159057.04851317644,4096,386.27649999999994
alternating,256,after,1289,1,1,1,256,258,257,257,2,258,515.6666666666666,86,3768.655598958335,3562.8417968749936,3748.3642578125045,4540.922851562482,5748.204101562491,419185.51571595855,9.514771213340602,265346.61333245796,4096,231.5462000000001
alternating,1024,before,4135,1025,1025,1025,0,1026,1025,1,2,2050,2061.6666666666665,683.3333333333334,25384.04296874999,25357.812500000022,25951.269531250044,27724.833984374985,28709.263671875007,2092015.5045645891,3.1557553139869876,39394.82773611315,1024,389.89889999999986
alternating,1024,after,5129,1,1,1,1024,1026,1025,1025,2,1026,2051.6666666666665,342,14995.332031250005,14665.72265624999,15944.970703125005,17082.91015625,18269.082031250022,1998627.9939924143,5.2214552895327335,66687.41965273044,1024,230.32830000000007
alternating,4096,before,16423,4097,4097,4097,0,4098,4097,1,2,8194,8205.666666666666,2731.3333333333335,106665.39062500007,105714.4531250005,111311.328125,116062.85156249991,117148.5078125002,40278637.42937331,3.295304292806569,9375.112153441283,256,409.59510000000034
alternating,4096,after,20489,1,1,1,4096,4098,4097,4097,2,4098,8195.666666666666,1366,58442.68229166674,57660.15624999987,60880.46874999997,62505.97656250028,62604.63281250038,7901530.2923295265,2.6638338392393437,17110.782065226816,256,224.41990000000027
replacement,0,before,1,0,0,0,0,1,1,1,0,0,1,0,31.323254903157597,30.633735656738235,32.22708702087409,34.54873085021984,35.53401374816909,3.8340288546829027,3.46212282191328,31925162.410219163,1048576,492.67220000000066
replacement,0,after,1,0,0,0,0,1,1,1,0,0,1,0,34.02074178059898,30.874633789062536,33.10389518737793,47.32718467712403,58.82517814636225,68.57232341731284,13.480696174392245,29393832.928424574,1048576,535.1000000000003
replacement,1,before,9,1,1,1,0,2,1,1,2,2,3.6666666666666665,0.6666666666666666,76.31741841634113,73.379135131836,77.78253555297846,91.85438156127937,95.07207870483411,63.21061702675255,5.769697056973571,13103168.591796594,524288,600.1845999999999
replacement,1,after,8,1,1,1,0,2,1,1,2,2,3.3333333333333335,0.6666666666666666,72.97079722086588,67.8459167480468,70.42036056518553,97.22038269042959,102.2315521240237,148.11871872613406,9.237140496281263,13704112.303627837,524288,573.8656999999997
replacement,16,before,370,16,16,16,0,17,1,1,32,32,12.181818181818182,0.9696969696969697,844.7922770182284,824.8687744140601,854.9072265624982,1037.7835083007794,1189.102111816404,16001.728156936124,8.293067039421057,1183722.9425552888,32768,415.23229999999955
replacement,16,after,114,16,16,16,0,17,1,1,32,32,4.424242424242424,0.9696969696969697,570.4400634765625,532.7941894531265,604.9560546874977,710.4660034179692,751.6610717773434,6734.910139281754,7.967783963301882,1753032.5515803935,32768,280.3827
